Start,Value,End,Pollutant,Unit
2021-08-27 09:00:00,11.1,2021-08-27 10:00:00,6001,ug.m-3
2021-08-27 10:00:00,10.23,2021-08-27 11:00:00,6001,ug.m-3
2021-08-27 11:00:00,10.92,2021-08-27 12:00:00,6001,ug.m-3
2021-08-27 12:00:00,11.02,2021-08-27 13:00:00,6001,ug.m-3
2021-08-27 13:00:00,10.31,2021-08-27 14:00:00,6001,ug.m-3
2021-08-27 14:00:00,9.46,2021-08-27 15:00:00,6001,ug.m-3
2021-08-27 15:00:00,8.23,2021-08-27 16:00:00,6001,ug.m-3
2021-08-27 16:00:00,7.83,2021-08-27 17:00:00,6001,ug.m-3
2021-08-27 17:00:00,10.5,2021-08-27 18:00:00,6001,ug.m-3
2021-08-27 18:00:00,13.16,2021-08-27 19:00:00,6001,ug.m-3
2021-08-27 19:00:00,16.18,2021-08-27 20:00:00,6001,ug.m-3
2021-08-27 20:00:00,17.25,2021-08-27 21:00:00,6001,ug.m-3
2021-08-27 21:00:00,16.95,2021-08-27 22:00:00,6001,ug.m-3
2021-08-27 22:00:00,16.92,2021-08-27 23:00:00,6001,ug.m-3
2021-08-27 23:00:00,17.89,2021-08-28 00:00:00,6001,ug.m-3
2021-08-28 00:00:00,17.19,2021-08-28 01:00:00,6001,ug.m-3
2021-08-28 01:00:00,14.42,2021-08-28 02:00:00,6001,ug.m-3
2021-08-28 02:00:00,12.01,2021-08-28 03:00:00,6001,ug.m-3
2021-08-28 03:00:00,10.66,2021-08-28 04:00:00,6001,ug.m-3
2021-08-28 04:00:00,9.49,2021-08-28 05:00:00,6001,ug.m-3
2021-08-28 05:00:00,10.49,2021-08-28 06:00:00,6001,ug.m-3
2021-08-28 06:00:00,10.05,2021-08-28 07:00:00,6001,ug.m-3
2021-08-28 07:00:00,10.71,2021-08-28 08:00:00,6001,ug.m-3
2021-08-28 08:00:00,11.23,2021-08-28 09:00:00,6001,ug.m-3
2021-08-28 09:00:00,12.11,2021-08-28 10:00:00,6001,ug.m-3
2021-08-28 10:00:00,11.96,2021-08-28 11:00:00,6001,ug.m-3
2021-08-28 11:00:00,11.44,2021-08-28 12:00:00,6001,ug.m-3
2021-08-28 12:00:00,11.03,2021-08-28 13:00:00,6001,ug.m-3
2021-08-28 13:00:00,9.69,2021-08-28 14:00:00,6001,ug.m-3
2021-08-28 14:00:00,7.71,2021-08-28 15:00:00,6001,ug.m-3
2021-08-28 15:00:00,6.91,2021-08-28 16:00:00,6001,ug.m-3
2021-08-28 16:00:00,7.04,2021-08-28 17:00:00,6001,ug.m-3
2021-08-28 17:00:00,6.93,2021-08-28 18:00:00,6001,ug.m-3
2021-08-28 18:00:00,7.92,2021-08-28 19:00:00,6001,ug.m-3
2021-08-28 19:00:00,9.45,2021-08-28 20:00:00,6001,ug.m-3
2021-08-28 20:00:00,12.31,2021-08-28 21:00:00,6001,ug.m-3
2021-08-28 21:00:00,12.26,2021-08-28 22:00:00,6001,ug.m-3
2021-08-28 22:00:00,10.78,2021-08-28 23:00:00,6001,ug.m-3
2021-08-28 23:00:00,7.24,2021-08-29 00:00:00,6001,ug.m-3
2021-08-29 00:00:00,6.4,2021-08-29 01:00:00,6001,ug.m-3
2021-08-29 01:00:00,5.2,2021-08-29 02:00:00,6001,ug.m-3
2021-08-29 02:00:00,4.81,2021-08-29 03:00:00,6001,ug.m-3
2021-08-29 03:00:00,6.15,2021-08-29 04:00:00,6001,ug.m-3
2021-08-29 04:00:00,7.06,2021-08-29 05:00:00,6001,ug.m-3
2021-08-29 05:00:00,6.51,2021-08-29 06:00:00,6001,ug.m-3
2021-08-29 06:00:00,7.67,2021-08-29 07:00:00,6001,ug.m-3
2021-08-29 07:00:00,8.93,2021-08-29 08:00:00,6001,ug.m-3
2021-08-29 08:00:00,7.29,2021-08-29 09:00:00,6001,ug.m-3
2021-08-29 09:00:00,8.8,2021-08-29 10:00:00,6001,ug.m-3
2021-08-29 10:00:00,8.34,2021-08-29 11:00:00,6001,ug.m-3
2021-08-29 11:00:00,7.54,2021-08-29 12:00:00,6001,ug.m-3
2021-08-29 12:00:00,7.89,2021-08-29 13:00:00,6001,ug.m-3
2021-08-29 13:00:00,8.45,2021-08-29 14:00:00,6001,ug.m-3
2021-08-29 14:00:00,6.59,2021-08-29 15:00:00,6001,ug.m-3
2021-08-29 15:00:00,7.03,2021-08-29 16:00:00,6001,ug.m-3
2021-08-29 16:00:00,8.43,2021-08-29 17:00:00,6001,ug.m-3
2021-08-29 17:00:00,8.3,2021-08-29 18:00:00,6001,ug.m-3
2021-08-29 18:00:00,9.09,2021-08-29 19:00:00,6001,ug.m-3
2021-08-29 19:00:00,9.91,2021-08-29 20:00:00,6001,ug.m-3
2021-08-29 20:00:00,11.66,2021-08-29 21:00:00,6001,ug.m-3
2021-08-29 21:00:00,14.24,2021-08-29 22:00:00,6001,ug.m-3
2021-08-29 22:00:00,15.87,2021-08-29 23:00:00,6001,ug.m-3
2021-08-29 23:00:00,15.4,2021-08-30 00:00:00,6001,ug.m-3
2021-08-30 00:00:00,12.36,2021-08-30 01:00:00,6001,ug.m-3
2021-08-30 01:00:00,11.31,2021-08-30 02:00:00,6001,ug.m-3
2021-08-30 02:00:00,10.4,2021-08-30 03:00:00,6001,ug.m-3
2021-08-30 03:00:00,8.78,2021-08-30 04:00:00,6001,ug.m-3
2021-08-30 04:00:00,9.14,2021-08-30 05:00:00,6001,ug.m-3
2021-08-30 05:00:00,9.13,2021-08-30 06:00:00,6001,ug.m-3
2021-08-30 06:00:00,9.85,2021-08-30 07:00:00,6001,ug.m-3
2021-08-30 07:00:00,10.3,2021-08-30 08:00:00,6001,ug.m-3
2021-08-30 08:00:00,12.44,2021-08-30 09:00:00,6001,ug.m-3
2021-08-30 09:00:00,12.09,2021-08-30 10:00:00,6001,ug.m-3
2021-08-30 10:00:00,10.55,2021-08-30 11:00:00,6001,ug.m-3
2021-08-30 11:00:00,11.12,2021-08-30 12:00:00,6001,ug.m-3
2021-08-30 12:00:00,10.23,2021-08-30 13:00:00,6001,ug.m-3
2021-08-30 13:00:00,8.61,2021-08-30 14:00:00,6001,ug.m-3
2021-08-30 14:00:00,10.08,2021-08-30 15:00:00,6001,ug.m-3
2021-08-30 15:00:00,12.49,2021-08-30 16:00:00,6001,ug.m-3
2021-08-30 16:00:00,14.45,2021-08-30 17:00:00,6001,ug.m-3
2021-08-30 17:00:00,13.94,2021-08-30 18:00:00,6001,ug.m-3
2021-08-30 18:00:00,13.91,2021-08-30 19:00:00,6001,ug.m-3
2021-08-30 19:00:00,13.66,2021-08-30 20:00:00,6001,ug.m-3
2021-08-30 20:00:00,13.96,2021-08-30 21:00:00,6001,ug.m-3
2021-08-30 21:00:00,13.06,2021-08-30 22:00:00,6001,ug.m-3
2021-08-30 22:00:00,13.68,2021-08-30 23:00:00,6001,ug.m-3
2021-08-30 23:00:00,14.12,2021-08-31 00:00:00,6001,ug.m-3
2021-08-31 00:00:00,11.56,2021-08-31 01:00:00,6001,ug.m-3
2021-08-31 01:00:00,9.26,2021-08-31 02:00:00,6001,ug.m-3
2021-08-31 02:00:00,9.42,2021-08-31 03:00:00,6001,ug.m-3
2021-08-31 03:00:00,13.14,2021-08-31 04:00:00,6001,ug.m-3
2021-08-31 04:00:00,14.37,2021-08-31 05:00:00,6001,ug.m-3
2021-08-31 05:00:00,14.87,2021-08-31 06:00:00,6001,ug.m-3
2021-08-31 06:00:00,14.29,2021-08-31 07:00:00,6001,ug.m-3
2021-08-31 07:00:00,13.98,2021-08-31 08:00:00,6001,ug.m-3
2021-08-31 08:00:00,14.6,2021-08-31 09:00:00,6001,ug.m-3
2021-08-31 09:00:00,14.37,2021-08-31 10:00:00,6001,ug.m-3
2021-08-31 10:00:00,14.91,2021-08-31 11:00:00,6001,ug.m-3
2021-08-31 11:00:00,14.21,2021-08-31 12:00:00,6001,ug.m-3
2021-08-31 12:00:00,12.0,2021-08-31 13:00:00,6001,ug.m-3
2021-08-31 13:00:00,9.9,2021-08-31 14:00:00,6001,ug.m-3
2021-08-31 14:00:00,9.38,2021-08-31 15:00:00,6001,ug.m-3
2021-08-31 15:00:00,10.58,2021-08-31 16:00:00,6001,ug.m-3
2021-08-31 16:00:00,11.27,2021-08-31 17:00:00,6001,ug.m-3
2021-08-31 17:00:00,12.38,2021-08-31 18:00:00,6001,ug.m-3
2021-08-31 18:00:00,13.53,2021-08-31 19:00:00,6001,ug.m-3
2021-08-31 19:00:00,14.89,2021-08-31 20:00:00,6001,ug.m-3
2021-08-31 20:00:00,15.3,2021-08-31 21:00:00,6001,ug.m-3
2021-08-31 21:00:00,15.09,2021-08-31 22:00:00,6001,ug.m-3
2021-08-31 22:00:00,12.82,2021-08-31 23:00:00,6001,ug.m-3
2021-08-31 23:00:00,9.41,2021-09-01 00:00:00,6001,ug.m-3
2021-09-01 00:00:00,9.44,2021-09-01 01:00:00,6001,ug.m-3
2021-09-01 01:00:00,9.04,2021-09-01 02:00:00,6001,ug.m-3
2021-09-01 02:00:00,8.42,2021-09-01 03:00:00,6001,ug.m-3
2021-09-01 03:00:00,9.64,2021-09-01 04:00:00,6001,ug.m-3
2021-09-01 04:00:00,10.99,2021-09-01 05:00:00,6001,ug.m-3
2021-09-01 05:00:00,10.48,2021-09-01 06:00:00,6001,ug.m-3
2021-09-01 06:00:00,11.66,2021-09-01 07:00:00,6001,ug.m-3
2021-09-01 07:00:00,12.56,2021-09-01 08:00:00,6001,ug.m-3
2021-09-01 08:00:00,13.62,2021-09-01 09:00:00,6001,ug.m-3
2021-09-01 09:00:00,12.39,2021-09-01 10:00:00,6001,ug.m-3
2021-09-01 10:00:00,10.03,2021-09-01 11:00:00,6001,ug.m-3
2021-09-01 11:00:00,8.47,2021-09-01 12:00:00,6001,ug.m-3
2021-09-01 12:00:00,7.71,2021-09-01 13:00:00,6001,ug.m-3
2021-09-01 13:00:00,10.42,2021-09-01 14:00:00,6001,ug.m-3
2021-09-01 14:00:00,10.36,2021-09-01 15:00:00,6001,ug.m-3
2021-09-01 15:00:00,9.04,2021-09-01 16:00:00,6001,ug.m-3
2021-09-01 16:00:00,5.82,2021-09-01 17:00:00,6001,ug.m-3
2021-09-01 17:00:00,5.07,2021-09-01 18:00:00,6001,ug.m-3
2021-09-01 18:00:00,6.96,2021-09-01 19:00:00,6001,ug.m-3
2021-09-01 19:00:00,8.2,2021-09-01 20:00:00,6001,ug.m-3
2021-09-01 20:00:00,9.28,2021-09-01 21:00:00,6001,ug.m-3
2021-09-01 21:00:00,9.08,2021-09-01 22:00:00,6001,ug.m-3
2021-09-01 22:00:00,11.47,2021-09-01 23:00:00,6001,ug.m-3
2021-09-01 23:00:00,15.35,2021-09-02 00:00:00,6001,ug.m-3
2021-09-02 00:00:00,12.32,2021-09-02 01:00:00,6001,ug.m-3
2021-09-02 01:00:00,10.49,2021-09-02 02:00:00,6001,ug.m-3
2021-09-02 02:00:00,9.75,2021-09-02 03:00:00,6001,ug.m-3
2021-09-02 03:00:00,7.43,2021-09-02 04:00:00,6001,ug.m-3
2021-09-02 04:00:00,6.19,2021-09-02 05:00:00,6001,ug.m-3
2021-09-02 05:00:00,5.39,2021-09-02 06:00:00,6001,ug.m-3
2021-09-02 06:00:00,5.76,2021-09-02 07:00:00,6001,ug.m-3
2021-09-02 07:00:00,6.51,2021-09-02 08:00:00,6001,ug.m-3
2021-09-02 08:00:00,5.94,2021-09-02 09:00:00,6001,ug.m-3
2021-09-02 09:00:00,7.21,2021-09-02 10:00:00,6001,ug.m-3
2021-09-02 10:00:00,8.64,2021-09-02 11:00:00,6001,ug.m-3
2021-09-02 11:00:00,10.64,2021-09-02 12:00:00,6001,ug.m-3
2021-09-02 12:00:00,10.99,2021-09-02 13:00:00,6001,ug.m-3
2021-09-02 13:00:00,10.35,2021-09-02 14:00:00,6001,ug.m-3
2021-09-02 14:00:00,10.85,2021-09-02 15:00:00,6001,ug.m-3
2021-09-02 15:00:00,10.42,2021-09-02 16:00:00,6001,ug.m-3
2021-09-02 16:00:00,10.31,2021-09-02 17:00:00,6001,ug.m-3
2021-09-02 17:00:00,9.73,2021-09-02 18:00:00,6001,ug.m-3
2021-09-02 18:00:00,9.89,2021-09-02 19:00:00,6001,ug.m-3
2021-09-02 19:00:00,10.62,2021-09-02 20:00:00,6001,ug.m-3
2021-09-02 20:00:00,9.55,2021-09-02 21:00:00,6001,ug.m-3
2021-09-02 21:00:00,7.58,2021-09-02 22:00:00,6001,ug.m-3
2021-09-02 22:00:00,5.98,2021-09-02 23:00:00,6001,ug.m-3
2021-09-02 23:00:00,7.22,2021-09-03 00:00:00,6001,ug.m-3
2021-09-03 00:00:00,8.58,2021-09-03 01:00:00,6001,ug.m-3
2021-09-03 01:00:00,8.42,2021-09-03 02:00:00,6001,ug.m-3
2021-09-03 02:00:00,10.01,2021-09-03 03:00:00,6001,ug.m-3
2021-09-03 03:00:00,8.97,2021-09-03 04:00:00,6001,ug.m-3
2021-09-03 04:00:00,9.59,2021-09-03 05:00:00,6001,ug.m-3
2021-09-03 05:00:00,10.36,2021-09-03 06:00:00,6001,ug.m-3
2021-09-03 06:00:00,12.46,2021-09-03 07:00:00,6001,ug.m-3
2021-09-03 07:00:00,13.96,2021-09-03 08:00:00,6001,ug.m-3
2021-09-03 08:00:00,14.24,2021-09-03 09:00:00,6001,ug.m-3
2021-09-03 09:00:00,13.75,2021-09-03 10:00:00,6001,ug.m-3
2021-09-03 10:00:00,9.99,2021-09-03 11:00:00,6001,ug.m-3
2021-09-03 11:00:00,9.39,2021-09-03 12:00:00,6001,ug.m-3
2021-09-03 12:00:00,8.79,2021-09-03 13:00:00,6001,ug.m-3
2021-09-03 13:00:00,8.33,2021-09-03 14:00:00,6001,ug.m-3
