Ciudad,Fecha,NDBI
A Corua,2017-11-25,-0.08329821367580456
A Corua,2017-12-03,-0.1232216251481047
A Corua,2017-12-11,-0.11202056649534609
A Corua,2017-12-19,-0.09452766402868175
A Corua,2017-12-27,-0.07275425991181168
A Corua,2018-01-01,-0.10768378896358637
A Corua,2018-01-09,-0.12514339224269438
A Corua,2018-01-17,-0.13579391906173763
A Corua,2018-01-25,-0.17006573208494122
A Corua,2018-02-02,-0.18908266729638054
A Corua,2018-02-10,-0.1974116907789746
A Corua,2018-02-18,-0.12381122574702236
A Corua,2018-02-26,-0.10450881397325425
A Corua,2018-03-06,-0.0988415688061856
A Corua,2018-03-14,-0.09905751920704146
A Corua,2018-03-22,-0.15638961277017535
A Corua,2018-03-30,-0.16824707170981623
A Corua,2018-04-07,-0.2008205213909218
A Corua,2018-04-15,-0.12588771712023858
A Corua,2018-04-23,-0.1365458517443174
A Corua,2018-05-01,-0.15529205853657332
A Corua,2018-05-09,-0.1995533422928842
A Corua,2018-05-17,-0.1726041426423378
A Corua,2018-05-25,-0.1419331275476742
A Corua,2018-06-02,-0.1443002733382286
A Corua,2018-06-10,-0.13273787725447697
A Corua,2018-06-18,-0.14625125418004742
A Corua,2018-06-26,-0.11634674352884582
A Corua,2018-07-04,-0.11979025814880491
A Corua,2018-07-12,-0.09804710398176458
A Corua,2018-07-20,-0.07758609295536423
A Corua,2018-07-28,-0.06713361722881982
A Corua,2018-08-05,-0.048666733382845495
A Corua,2018-08-13,-0.052638526291176456
A Corua,2018-08-21,-0.04882084064690578
A Corua,2018-08-29,-0.05128203411145112
A Corua,2018-09-06,-0.037278772662512914
A Corua,2018-09-14,-0.029947798997689835
A Corua,2018-09-22,-0.01156919060452767
A Corua,2018-09-30,0.002593659337103324
A Corua,2018-10-08,-0.006187230860522186
A Corua,2018-10-16,-0.013165604238457543
A Corua,2018-10-24,-0.09485420720365627
A Corua,2018-11-01,-0.11218626836264915
A Corua,2018-11-09,-0.1306484106317186
A Corua,2018-11-17,-0.1116232187911698
A Corua,2018-11-25,-0.1433224139363265
A Corua,2018-12-03,-0.15166538029888113
A Corua,2018-12-11,-0.1685926120674197
A Corua,2018-12-19,-0.13698777272943408
A Corua,2018-12-27,-0.17506693159455092
A Corua,2019-01-01,-0.1594165130189452
A Corua,2019-01-09,-0.1987585059829952
A Corua,2019-01-17,-0.17933637318653495
A Corua,2019-01-25,-0.21193516002521307
A Corua,2019-02-02,-0.19395969105947705
A Corua,2019-02-10,-0.20405234281181026
A Corua,2019-02-18,-0.14921316187996975
A Corua,2019-02-26,-0.1692907034840522
A Corua,2019-03-06,-0.16855104403573426
A Corua,2019-03-14,-0.19619070090781032
A Corua,2019-03-22,-0.17333044041778303
A Corua,2019-03-30,-0.180302853581509
A Corua,2019-04-07,-0.17823832453666966
A Corua,2019-04-15,-0.18158534150437625
A Corua,2019-04-23,-0.1861416753012354
A Corua,2019-05-01,-0.20551398810737553
A Corua,2019-05-09,-0.22916153011608995
A Corua,2019-05-17,-0.23685822149755928
A Corua,2019-05-25,-0.21178316527320118
A Corua,2019-06-02,-0.1575199190868512
A Corua,2019-06-10,-0.11399830780417024
A Corua,2019-06-18,-0.09897563206720879
A Corua,2019-06-26,-0.11794951074949878
A Corua,2019-07-04,-0.09913366974752724
A Corua,2019-07-12,-0.07386594923565447
A Corua,2019-07-20,-0.07221504997760118
A Corua,2019-07-28,-0.06847365053367335
A Corua,2019-08-05,-0.06577748333532235
A Corua,2019-08-13,-0.02944736179920827
A Corua,2019-08-21,-0.01896848879347541
A Corua,2019-08-29,-0.005548325232346378
A Corua,2019-09-06,-0.0027237739581827103
A Corua,2019-09-14,-0.04635556369892182
A Corua,2019-09-22,-0.049738741338880114
A Corua,2019-09-30,-0.05460517972009784
A Corua,2019-10-08,-0.041911502206475736
A Corua,2019-10-16,-0.07358676597113233
A Corua,2019-10-24,-0.09428498004436321
A Corua,2019-11-01,-0.10960697574185913
A Corua,2019-11-09,-0.13929056283477495
A Corua,2019-11-17,-0.17273320243192078
A Corua,2019-11-25,-0.17765589866666917
A Corua,2019-12-03,-0.1884879328487813
A Corua,2019-12-11,-0.20258239534175113
A Corua,2019-12-19,-0.19755806130215828
A Corua,2019-12-27,-0.20602049675110046
A Corua,2020-01-01,-0.20158686063795225
A Corua,2020-01-09,-0.2179696333789023
A Corua,2020-01-17,-0.20867868936829517
A Corua,2020-01-25,-0.16578090161573822
A Corua,2020-02-02,-0.17703821155725874
A Corua,2020-02-10,-0.1658526804985542
A Corua,2020-02-18,-0.18591535896392916
A Corua,2020-02-26,-0.1881545560983238
A Corua,2020-03-05,-0.17790856484864806
A Corua,2020-03-13,-0.18594982523029455
A Corua,2020-03-21,-0.15822766061702973
A Corua,2020-03-29,-0.17996569053798228
A Corua,2020-04-06,-0.1987351042141945
A Corua,2020-04-14,-0.22227798391706355
A Corua,2020-04-22,-0.24784273860696152
A Corua,2020-04-30,-0.2417925913119556
A Corua,2020-05-08,-0.2513206392529723
A Corua,2020-05-16,-0.1896137841639496
A Corua,2020-05-24,-0.1595783499312436
A Corua,2020-06-01,-0.14258702932823827
A Corua,2020-06-09,-0.16665943102234862
A Corua,2020-06-17,-0.1716753246458372
A Corua,2020-06-25,-0.13859652643041964
A Corua,2020-07-03,-0.09546962705071022
A Corua,2020-07-11,-0.06583602716971161
A Corua,2020-07-19,-0.0528000299683657
A Corua,2020-07-27,-0.03749451539053878
A Corua,2020-08-04,-0.062278299666475835
A Corua,2020-08-12,-0.05801056606640912
A Corua,2020-08-20,-0.06832662200751714
A Corua,2020-08-28,-0.047545507623468077
A Corua,2020-09-05,-0.07125031324100628
A Corua,2020-09-13,-0.09584779019053553
A Corua,2020-09-21,-0.10949958046247672
A Corua,2020-09-29,-0.13772887607548848
A Corua,2020-10-07,-0.1717903850859591
A Corua,2020-10-15,-0.20511318370741674
A Corua,2020-10-23,-0.17522394680490672
A Corua,2020-10-31,-0.14051581572149038
A Corua,2020-11-08,-0.12986297798266697
A Corua,2020-11-16,-0.13988119609190305
A Corua,2020-11-24,-0.15304454429231049
A Corua,2020-12-02,-0.16386739648236226
A Corua,2020-12-10,-0.19120889308100175
A Corua,2020-12-18,-0.21736229527561793
A Corua,2020-12-26,-0.19826383329696592
A Corua,2021-01-01,-0.22416391375925837
A Corua,2021-01-09,-0.20443497822597645
A Corua,2021-01-17,-0.20005472679485573
A Corua,2021-01-25,-0.15738423476112104
A Corua,2021-02-02,-0.15349870593683343
A Corua,2021-02-10,-0.18478796650113016
A Corua,2021-02-18,-0.17368576501509828
A Corua,2021-02-26,-0.18001906112112162
A Corua,2021-03-06,-0.15801108780118878
A Corua,2021-03-14,-0.1728118228415507
A Corua,2021-03-22,-0.17175663732304905
A Corua,2021-03-30,-0.18507230705682454
A Corua,2021-04-07,-0.1641030630071325
A Corua,2021-04-15,-0.17548785499831263
A Corua,2021-04-23,-0.16944841332963623
A Corua,2021-05-01,-0.20932363561477715
