Ciudad,Fecha,NDVI
Albacete,2015-04-23,1.5e-05
Albacete,2015-05-09,1.3480000000000001e-05
Albacete,2015-05-25,1.4910000000000001e-05
Albacete,2015-06-10,1.381e-05
Albacete,2015-06-26,1.5240000000000001e-05
Albacete,2015-07-12,1.4890000000000001e-05
Albacete,2015-07-28,1.422e-05
Albacete,2015-08-13,1.2980000000000001e-05
Albacete,2015-08-29,1.578e-05
Albacete,2015-09-14,1.7230000000000003e-05
Albacete,2015-09-30,1.376e-05
Albacete,2015-10-16,1.2460000000000001e-05
Albacete,2015-11-01,1.5010000000000002e-05
Albacete,2015-11-17,1.336e-05
Albacete,2015-12-03,1.599e-05
Albacete,2015-12-19,1.285e-05
Albacete,2016-01-01,9.85e-06
Albacete,2016-01-17,1.1730000000000001e-05
Albacete,2016-02-02,1.147e-05
Albacete,2016-02-18,1.096e-05
Albacete,2016-03-05,1.13e-05
Albacete,2016-03-21,1.281e-05
Albacete,2016-04-06,1.2509999999999999e-05
Albacete,2016-04-22,1.4160000000000002e-05
Albacete,2016-05-08,1.308e-05
Albacete,2016-05-24,1.252e-05
Albacete,2016-06-09,1.3650000000000001e-05
Albacete,2016-06-25,1.4840000000000002e-05
Albacete,2016-07-11,1.3850000000000001e-05
Albacete,2016-07-27,1.281e-05
Albacete,2016-08-12,1.231e-05
Albacete,2016-08-28,1.3020000000000002e-05
Albacete,2016-09-13,1.382e-05
Albacete,2016-09-29,1.29e-05
Albacete,2016-10-15,1.255e-05
Albacete,2016-10-31,1.467e-05
Albacete,2016-11-16,1.22e-05
Albacete,2016-12-02,1.1690000000000002e-05
Albacete,2016-12-18,1.134e-05
Albacete,2017-01-01,1.234e-05
Albacete,2017-01-17,1.2450000000000001e-05
Albacete,2017-02-02,1.2820000000000001e-05
Albacete,2017-02-18,1.098e-05
Albacete,2017-03-06,1.2800000000000001e-05
Albacete,2017-03-22,1.373e-05
Albacete,2017-04-07,1.5220000000000002e-05
Albacete,2017-04-23,1.54e-05
Albacete,2017-05-09,1.616e-05
Albacete,2017-05-25,1.721e-05
Albacete,2017-06-10,1.4760000000000001e-05
Albacete,2017-06-26,1.399e-05
Albacete,2017-07-12,1.514e-05
Albacete,2017-07-28,1.384e-05
Albacete,2017-08-13,1.429e-05
Albacete,2017-08-29,1.4910000000000001e-05
Albacete,2017-09-14,1.2540000000000002e-05
Albacete,2017-09-30,1.2270000000000001e-05
Albacete,2017-10-16,1.16e-05
Albacete,2017-11-01,9.58e-06
Albacete,2017-11-17,1.2740000000000002e-05
Albacete,2017-12-03,1.0870000000000001e-05
Albacete,2017-12-19,9.58e-06
Albacete,2018-01-01,9.58e-06
Albacete,2018-01-17,1.096e-05
Albacete,2018-02-02,1.076e-05
Albacete,2018-02-18,1.11e-05
Albacete,2018-03-06,1.0510000000000001e-05
Albacete,2018-03-22,1.145e-05
Albacete,2018-04-07,1.3130000000000001e-05
Albacete,2018-04-23,1.4380000000000001e-05
Albacete,2018-05-09,1.3500000000000001e-05
Albacete,2018-05-25,1.787e-05
Albacete,2018-06-10,1.755e-05
Albacete,2018-06-26,1.5850000000000002e-05
Albacete,2018-07-12,1.299e-05
Albacete,2018-07-28,1.4480000000000002e-05
Albacete,2018-08-13,1.3750000000000002e-05
Albacete,2018-08-29,1.3700000000000001e-05
Albacete,2018-09-14,1.4540000000000001e-05
Albacete,2018-09-30,1.3280000000000002e-05
Albacete,2018-10-16,1.0100000000000002e-05
Albacete,2018-11-01,1.56e-05
Albacete,2018-11-17,1.2870000000000002e-05
Albacete,2018-12-03,1.216e-05
Albacete,2018-12-19,1.0870000000000001e-05
Albacete,2019-01-01,1.0539999999999999e-05
Albacete,2019-01-17,1.036e-05
Albacete,2019-02-02,1.2750000000000002e-05
Albacete,2019-02-18,1.233e-05
Albacete,2019-03-06,1.3830000000000001e-05
Albacete,2019-03-22,1.326e-05
Albacete,2019-04-07,1.3980000000000002e-05
Albacete,2019-04-23,1.6080000000000002e-05
Albacete,2019-05-09,1.6470000000000003e-05
Albacete,2019-05-25,1.619e-05
Albacete,2019-06-10,1.4360000000000001e-05
Albacete,2019-06-26,1.4910000000000001e-05
Albacete,2019-07-12,1.414e-05
Albacete,2019-07-28,1.4050000000000003e-05
Albacete,2019-08-13,1.63e-05
Albacete,2019-08-29,1.232e-05
Albacete,2019-09-14,1.689e-05
Albacete,2019-09-30,1.311e-05
Albacete,2019-10-16,1.4810000000000002e-05
Albacete,2019-11-01,1.3510000000000001e-05
Albacete,2019-11-17,1.2100000000000001e-05
Albacete,2019-12-03,1.1740000000000001e-05
Albacete,2019-12-19,1.1570000000000001e-05
Albacete,2020-01-01,1.1310000000000002e-05
Albacete,2020-01-17,9.54e-06
Albacete,2020-02-02,1.1540000000000001e-05
Albacete,2020-02-18,1.2640000000000003e-05
Albacete,2020-03-05,1.3630000000000002e-05
Albacete,2020-03-21,1.6080000000000002e-05
Albacete,2020-04-06,1.527e-05
Albacete,2020-04-22,1.845e-05
Albacete,2020-05-08,1.826e-05
Albacete,2020-05-24,1.5040000000000002e-05
Albacete,2020-06-09,1.699e-05
Albacete,2020-06-25,1.56e-05
Albacete,2020-07-11,1.6250000000000002e-05
Albacete,2020-07-27,1.432e-05
Albacete,2020-08-12,1.616e-05
Albacete,2020-08-28,1.53e-05
Albacete,2020-09-13,1.5240000000000001e-05
Albacete,2020-09-29,1.73e-05
Albacete,2020-10-15,1.759e-05
Albacete,2020-10-31,1.244e-05
Albacete,2020-11-16,1.1760000000000001e-05
Albacete,2020-12-02,1.179e-05
Albacete,2020-12-18,1.2070000000000001e-05
Albacete,2021-01-01,1.2410000000000001e-05
Albacete,2021-01-17,1.2750000000000002e-05
Albacete,2021-02-02,1.1350000000000001e-05
Albacete,2021-02-18,1.414e-05
Albacete,2021-03-06,1.3450000000000002e-05
Albacete,2021-03-22,1.379e-05
Albacete,2021-04-07,1.551e-05
Albacete,2021-04-23,2.017e-05
Albacete,2021-05-09,1.487e-05
Albacete,2021-05-25,1.672e-05
Albacete,2021-06-10,1.4779999999999999e-05
Albacete,2021-06-26,1.4010000000000001e-05
Albacete,2021-07-12,1.7879999999999998e-05
Albacete,2021-07-28,1.3710000000000001e-05
Albacete,2021-08-13,1.792e-05
Albacete,2021-08-29,1.66e-05
Albacete,2021-09-14,1.5110000000000003e-05
Albacete,2021-09-30,1.3220000000000002e-05
Albacete,2021-10-16,1.0860000000000001e-05
Albacete,2021-11-01,1.367e-05
Albacete,2021-11-17,1.2590000000000001e-05
Albacete,2021-12-03,1.201e-05
Albacete,2021-12-19,1.2540000000000002e-05
Albacete,2022-01-01,1.167e-05
Albacete,2022-01-17,9.820000000000001e-06
Albacete,2022-02-02,1.2620000000000001e-05
Albacete,2022-02-18,1.252e-05
Albacete,2022-03-06,1.358e-05
